...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column,Full_Address,Latitude,Longitude
52,2025001247,"Tamper w/Sec, Fire, Life Safety Sys.",1/27/25,2:31:00,1/27/25,2:25:00,,Stevenson North Closed By,1/27/25,0,Stevenson North,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
53,2025001275,Battery,1/27/25,16:36:00,1/27/25,16:36:00,,5 Northern View Cir Suspended,1/27/25,0,5 Northern View Cir,Suspended,"5 Northern View Cir, DeKalb, IL 60115, USA",41.9414577,-88.78853319999999
54,2025001305,Domestic Battery,1/28/25,1:55:00,1/28/25,1:50:00,,Stevenson North Closed By,1/28/25,0,Stevenson North,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA",41.9373945,-88.780097
55,2025001313,Theft $500 and Under,1/28/25,4:05:00,1/28/25,4:05:00,,Gilbert Hall Open,1/28/25,0,Gilbert Hall,Open,"383 Gilbert Drive, DeKalb, IL 60115, USA",41.9357509,-88.7625144
56,2025001322,Theft $500 and Under,1/28/25,8:00:00,1/28/25,8:00:00,,Recreation Center Open,1/28/25,0,Recreation Center,Open,"325 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.935236,-88.7742846
57,2025001365,Gambling-Betting Or Wagering,1/28/25,2:42:00,1/28/25,2:42:00,,Recreation Center Suspended,1/28/25,0,Recreation Center,Suspended,"325 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.935236,-88.7742846
58,2025001232,Disorderly Conduct,1/26/25,19:55:00,1/26/25,19:50:00,,Patterson Hall East Suspended,1/29/25,0,Patterson Hall East,Suspended,"501 N Annie Glidden Rd, DeKalb, IL 60115, USA",41.9384848,-88.7740353
59,2025001230,Leaving Scene Property Damage,1/26/25,14:51:00,1/26/25,14:35:00,,Lucinda And Stadium Dr E Suspended,1/30/25,0,Lucinda Ave & Stadium Dr E,Suspended,"Lucinda Ave & Stadium Dr E, DeKalb, IL 60115, USA",41.93638079999999,-88.77541839999999
60,2025001230,Accident,1/26/25,14:51:00,1/26/25,14:35:00,,Suspended,1/30/25,Unknown,Lucinda Ave & Stadium Dr E,Suspended,"Lucinda Ave & Stadium Dr E, DeKalb, IL 60115, USA",41.93638079999999,-88.77541839999999
61,2025001417,Illegal Consumption Of Alcohol By,1/30/25,8:29:00,1/30/25,8:30:00,,Stevenson South Cleared - Adult,1/30/25,0,Stevenson South,Cleared - Adult Arrest,"420 Stadium Dr W, DeKalb, IL 60115, USA",41.9367805,-88.78006119999999
62,2025001424,Harassment through Electronic,1/30/25,11:39:00,1/29/25,11:26:00,,"DeKalb, IL Open",1/30/25,0,"DeKalb, IL",Open,"DeKalb, IL, USA",41.9295355,-88.74991279999999
63,2025001507,Theft $500 and Under,1/31/25,11:23:00,1/30/25,6:00:00,,Neptune North Unfounded,1/31/25,0,Neptune North,Unfounded,"750 Lucinda Ave, DeKalb, IL 60115, USA",41.9360665,-88.768298
64,2025001673,Public Indecency,1/31/25,1:27:00,1/31/25,1:27:00,,Grant North Suspended,1/31/25,0,Grant North,Suspended,"1250 Grant Dr N, DeKalb, IL 60115, USA",41.9378061,-88.7772025
